customer_id,first_name,last_name,full_name,dob,email,phone,address,national_id,country,source_name,raw_text,sex,record_updated,Gender,Account Type,Account Balance,Registration Date,Male,Savings,91666.17,2020-01-16,last_update,timestamp,gender_code,last_modified,modified_date
19148b7d-1388-497a-bb9d-509764a4fcde,Matthew,Larsen,Matthew Larsen,,malonekevin@yahoo.com,+1-767-935-0250x74038,"125 Robert Ways Suite 051
Castilloport, DC 34598",,,bank_customers_without_schema,,,,,,,,,Checking,,,,,,,
f626ccd4-913d-4681-9550-e894b97ab414,Jeffrey,Jordan,Jeffrey Jordan,,abigail65@burns.com,+1-914-280-8366x3285,"7505 Johnson Lane Suite 612
Elizabethfort, AK 45839",,,bank_customers_without_schema,,,,,,,,,Checking,,,,,,,
68ba15e1-2de2-4305-83a9-367410d9021e,Charles,Wilson,Charles Wilson,,markmcdonald@edwards.com,621.990.8111x5048,"4684 Jeff Track
Lauramouth, NE 67485",,,bank_customers_without_schema,,,,,,,,,Checking,,,,,,,
c98cd723-0083-4089-933c-b2fd1e68a03f,Ruth,Smith,Ruth Smith,,mporter@white-rhodes.com,001-871-474-2034x9015,"36572 Cynthia Flat Apt. 227
Thompsonton, DE 15602",,,bank_customers_without_schema,,,,,,,,,Savings,,,,,,,
aa7f8dc8-8966-4600-b8c2-8201c6e35cce,Joshua,Johns,Joshua Johns,,kbush@noble.biz,027.174.7744x073,"52857 Watson Trace Apt. 393
East Nicole, CT 06579",,,bank_customers_without_schema,,,,,,,,,Savings,,,,,,,
fdfb9f7e-18f6-49f5-b20d-41270228fac5,Nathan,Shaffer,Nathan Shaffer,,cfreeman@key.info,(799)024-0572x23999,"630 Craig Place
Elizabethtown, NM 36277",,,bank_customers_without_schema,,,,,,,,,Checking,,,,,,,
1fcb4471-89a9-4086-9886-edf403abae99,Deborah,White,Deborah White,,xdavis@george.biz,4535313068,"3484 Jackson Bypass Suite 188
Susanview, MO 80848",,,bank_customers_without_schema,,,,,,,,,Savings,,,,,,,
e60d8543-17d4-4d79-a777-0fba7924ce3e,William,King,William King,,colemankimberly@fisher.net,+1-033-630-8864x064,"304 Kelly Glens
West Emilyborough, NY 91360",,,bank_customers_without_schema,,,,,,,,,Savings,,,,,,,
c8e577d3-fb67-4364-956f-202330b6bc74,Mark,Brown,Mark Brown,,amanda12@mitchell.info,590-094-0827x8860,"83149 Samantha Junction Suite 597
New Emily, AL 48598",,,bank_customers_without_schema,,,,,,,,,Checking,,,,,,,
936cce70-f0d5-4e6e-b331-758d5a016c69,Alexis,Knight,Alexis Knight,,samantha31@scott-west.org,001-099-418-7407x16931,"861 Aaron Road Suite 555
Port Becky, HI 71157",,,bank_customers_without_schema,,,,,,,,,Checking,,,,,,,
89a13e1c-61d3-46eb-a412-a13b44a47c0a,Andrew,Duarte,Andrew Duarte,,richard36@russell.com,858-286-1802x86565,"Unit 5530 Box 5232
DPO AE 12357",,,bank_customers_without_schema,,,,,,,,,Checking,,,,,,,
6aea7c08-687e-4ade-b2e2-7cc3be93405f,Mrs.,Lisa May MD,Mrs. Lisa May MD,,ihall@gmail.com,646.739.0700,"346 Christine Parkway
New Jonathan, PA 18612",,,bank_customers_without_schema,,,,,,,,,Savings,,,,,,,
9f813a18-17d0-45f5-a006-374ac35f7232,Daniel,Ruiz,Daniel Ruiz,,kgriffith@gmail.com,1920852433,"USS Griffin
FPO AA 89814",,,bank_customers_without_schema,,,,,,,,,Savings,,,,,,,
9b1654dd-456d-4d82-89c9-70508253ea6a,Phillip,Smith,Phillip Smith,,steven81@hughes.net,(851)482-1567x74895,"416 Gabriella Lodge
Lake Iantown, PA 85175",,,bank_customers_without_schema,,,,,,,,,Savings,,,,,,,
fac34689-b6cd-44f2-a48b-0026792a453b,Kevin,Smith,Kevin Smith,,samantha45@gmail.com,2581542601,"09699 Castillo Ports Apt. 789
Port Christopher, NJ 83582",,,bank_customers_without_schema,,,,,,,,,Savings,,,,,,,
bae781c3-8d5f-4291-92bd-d6627f16d0eb,Amanda,Brewer,Amanda Brewer,,stevenrodriguez@gmail.com,001-130-163-3133x413,"932 Pamela Branch Apt. 760
New Daniel, SC 16500",,,bank_customers_without_schema,,,,,,,,,Savings,,,,,,,
deddaec7-98ce-4b96-9f61-cea8025b8f67,Craig,Nelson,Craig Nelson,,terribarry@hotmail.com,(163)789-7348x894,"081 Barber Keys
Port Leah, MI 65729",,,bank_customers_without_schema,,,,,,,,,Savings,,,,,,,
6b904668-c58d-444c-80ee-9ba34c65ce5f,Brittany,Cisneros,Brittany Cisneros,,pooleedwin@hotmail.com,+1-785-536-1050x9729,"3289 Kathleen Valley
East Michelle, CT 49846",,,bank_customers_without_schema,,,,,,,,,Checking,,,,,,,
4866d96c-0fd1-4fa4-be61-3df0d372b109,Bryan,Hamilton,Bryan Hamilton,,gary45@gmail.com,+1-612-812-5685x1049,"USCGC Norman
FPO AP 25912",,,bank_customers_without_schema,,,,,,,,,Savings,,,,,,,
