Customer ID,Name,Age,Gender,Address,Email,Phone Number,Account Type,Account Balance,Registration Date
24b6ef4a-6310-40de-b589-60d4b75f68e5,Mark Montgomery,47,Female,"52662 Olsen Keys Apt. 350
New Lauren, KS 90632",sanchezkyle@hotmail.com,190-175-3164x84539,Checking,9391.74,2024-03-19
a0ae8e10-73eb-4bfe-8187-5760c4a243e6,Jason King,84,Male,"13849 Romero Stream
Jacquelinechester, ND 31821",elewis@hotmail.com,001-985-792-0564,Checking,8395.59,2021-06-19
56c99350-9f0f-4cfc-8f8a-379b0c7848df,Steven Whitaker,86,Female,"3801 Brianna Ways
Thomasmouth, KY 06857",simmonschristopher@johnston.info,(245)011-5138,Savings,35086.3,2020-06-25
31398298-f9c6-40c2-8c56-9a9717c46b65,Terri Lucero,59,Male,"026 Norman Villages Suite 475
South Christopher, MN 22190",mbeltran@gmail.com,432.911.9239x197,Checking,93745.8,2024-05-17
282692f2-6693-4f4d-9beb-50239666f9fc,Jeremy Mason,25,Female,"9115 Lee Route Apt. 784
Sanchezmouth, DC 07910",carrie14@gmail.com,001-148-679-2508x961,Checking,3484.77,2021-05-29
8e559d23-90e1-43b8-81fd-7daa1d27ca05,Amanda Blair,54,Female,"PSC 6661, Box 1017
APO AP 16604",pswanson@bowen-larson.com,001-370-735-8400,Checking,78892.7,2020-08-01
3f84331b-704d-4b3e-894b-05761c7b9a62,Tammy Wall,26,Male,"246 Hines Parkways
West Stephaniefurt, KS 05722",wandamatthews@wood.org,(882)430-7775,Savings,89677.52,2024-04-05
f04b46db-76e7-41c0-a6ec-96273879eb86,Michelle Fisher,21,Female,"177 Washington Row Suite 346
New Alanhaven, PA 71107",vwilliams@hotmail.com,+1-404-737-9290x752,Savings,15940.3,2024-02-19
5e1c3447-d06e-4267-a746-8734385bce7c,Wesley Myers,80,Male,"769 Woods Way Suite 891
Wilcoxfurt, MN 95945",jasminvillanueva@yahoo.com,9224123071,Checking,86197.45,2024-04-21
30de2df7-926b-40d0-a383-6f50dc263e29,Adam Hardy,76,Female,"081 Jennifer Extension
South Alexisstad, TX 70431",perrymelissa@spencer.org,977.863.0951x93795,Checking,18418.53,2023-01-06
75851707-f5dc-4d7d-93c6-f0fe014da7be,Kimberly Yang,35,Female,"Unit 2697 Box 1567
DPO AP 06951",harrislarry@hotmail.com,001-857-070-5828x73142,Savings,83666.94,2023-09-20
b9d7fe7c-81b3-4078-b442-f6ed8b141d5d,Hannah Vega,63,Male,"42012 Olivia Square
Port Tammymouth, ME 84572",rachel83@gmail.com,001-326-959-2199x8666,Checking,57533.97,2023-12-18
6ec24851-b38a-4691-a1a5-b846701c43a4,Colton Anderson,59,Female,"558 Harris Roads
Emmachester, SC 05382",susan93@duncan.com,(271)678-1814x628,Savings,53455.14,2022-07-21
91421ef2-7de0-4ce7-95b9-a78743406664,Dorothy Fisher,47,Male,"705 Taylor Stream
Hernandezville, MA 96088",tammy22@yu-brown.com,001-153-630-0811,Savings,92544.0,2021-10-28
d6976ab6-1224-45bb-b371-40971039f94a,Jason Mcmillan,87,Male,"4624 Shelia Canyon
Williamsstad, WI 68071",ryan86@campbell.com,574-766-6923,Savings,82272.64,2024-06-24
bd3844f4-ba6f-4057-bfef-2c2f6548c116,Jay Freeman,23,Male,"506 Hartman Skyway Apt. 245
Andrewston, IL 32255",johnsonkelly@owens-morrison.net,986-452-6549,Checking,63266.69,2020-04-21
15d1e3aa-9068-49b4-abf2-ee34965d7a7b,Mr. William Collins,32,Male,"258 Anderson Roads Suite 657
Harperbury, TX 01855",zachary13@williams.com,422.842.0712x943,Checking,41949.57,2023-05-31
f00c2dac-3c2d-444c-b957-d0f6dea57ba9,Donna Ramirez,86,Male,"08069 Jeffrey Fords Suite 169
Port Samanthabury, NC 16711",andreawatts@hotmail.com,195-552-3877x6462,Savings,60056.54,2024-05-28
5d1f2681-4cd1-45c5-becb-43c3c4cbef1d,Mary Roberts,90,Male,"176 James Rue Apt. 870
Christymouth, NM 79938",jenglish@gmail.com,(089)032-8762x37806,Checking,3558.24,2023-02-20
ae67e303-a245-411a-b863-d0aabf86d98d,Joseph Lee,40,Female,"546 Lance Divide Apt. 547
Collierborough, NJ 81855",carmen03@jordan.net,839-554-4110x7146,Checking,2180.62,2021-05-27
c9b4efbe-ae37-4532-99df-76cce4f68bad,William Turner,36,Male,"6610 Barr Stream Apt. 461
West Kaylaborough, MT 99671",johnnywheeler@hotmail.com,(003)510-7986x029,Savings,18292.06,2021-11-30
03b7631f-07db-4202-99a9-d45758616ad4,Dr. Lisa Cannon,21,Male,"391 Matthew Ranch
Marshberg, TX 31225",soliseric@hotmail.com,001-966-833-6539,Savings,30462.19,2022-08-23
187879d4-b580-4549-a87f-a652e577ee74,Christine Harris,77,Male,"66927 Sarah Courts
Jamesstad, NC 25192",chadlawson@romero.org,(148)465-4435x193,Checking,8862.8,2021-12-31
8a7c420d-97fa-4452-82e9-51bad029b0b0,Dr. Nicholas King,81,Female,"001 Byrd Points Apt. 137
North Priscillaberg, MD 64493",butlercarmen@hotmail.com,(582)745-7049x3778,Savings,25213.43,2020-11-05
e90ce0e4-fffc-4bd9-866e-23b54b2556b1,Robert Vasquez,53,Female,"45798 Reid Fall
Lake Williamport, IN 35966",youngvanessa@hotmail.com,1407146391,Savings,2175.33,2021-03-27
b27e20b7-1adb-4021-b4d3-462dae43a74e,Taylor Vasquez,60,Male,"55312 Sara Mountains
Reneeview, NM 23783",alexander61@nelson.com,+1-110-766-7518x6876,Savings,15094.23,2023-10-23
ad6b610b-194e-41a9-9a66-78509352ca7d,Antonio Gay,90,Male,"446 Melissa Landing Apt. 164
Haileyborough, AZ 88686",hayesgeorge@hotmail.com,+1-074-119-8923,Savings,47641.2,2024-04-07
17ffe078-b004-4359-b043-be8334bb3c7f,Carlos Adams,34,Male,"0015 Sims Springs Suite 867
Lake Chad, MI 71500",michaelpage@garrison-higgins.com,(775)287-3569x01483,Savings,65412.19,2020-06-17
e5e3a04e-7288-4020-abaf-d3de10bbc02d,Joshua Herrera,63,Female,"23148 Walker Crossroad Apt. 389
Randallton, NH 56053",hannahyoung@jackson.com,(330)076-1958x123,Savings,74713.04,2022-06-30
6c17d1a8-fda1-4e7e-82ff-70b7dfca7ca3,Corey Miller,18,Female,"8380 Choi Fort Suite 509
Riosland, ID 60826",james34@hotmail.com,281-290-9846x98952,Savings,93853.87,2023-04-01
6fd297b3-eb60-44ec-a563-d7f91a0f61f4,James Palmer,85,Female,"6465 Jones Burg
New Michelletown, OR 36261",janet45@yahoo.com,(777)914-3053x98224,Checking,59310.45,2023-03-24
dd63ed13-b600-43fc-a550-681664376b65,Melissa Thomas,48,Female,"51927 Garcia Ports Suite 778
Lake Christine, OH 72000",adamvega@yahoo.com,3303348033,Checking,80661.69,2021-01-13
2942e143-410c-48db-99cb-b8cb0e2909b2,Scott Booth,60,Male,"48352 Sara Oval
Orrport, IL 62984",campbelleric@ward-cox.com,001-118-926-4639x31779,Checking,69307.81,2023-05-29
9aba16bc-9db6-42b9-a339-0bfb8dfc54a9,Peter Thomas,65,Male,"1647 Nicole Village Suite 995
South Carolyn, UT 88470",ericatorres@thomas-johnson.com,001-719-433-7182x585,Savings,58627.43,2021-07-10
8f215e45-fac8-4c2d-a31c-3c2a5de643b1,Janet Bass,42,Female,"259 Li Station
East Michaelmouth, NJ 13585",thomasscott@howard.com,(463)921-1270,Savings,4729.14,2020-05-14
089300ee-9f68-47e6-8078-29d84dbfb101,Henry Miller,38,Female,"9772 White Glen Suite 913
Huertaview, SD 79664",sgonzalez@gmail.com,848-502-5486x1957,Checking,71525.87,2022-04-23
